word,NN-0
one,1
also,0
said,0
all,0
new,0
two,0
time,1
many,0
like,0
people,1
used,0
may,0
years,0
oh,0
will,0
world,1
well,1
see,0
now,0
okay,0
states,0
year,1
state,1
use,0
right,0
called,0
go,0
made,0
government,1
city,1
war,1
known,0
however,0
united,0
later,0
get,0
just,0
since,0
work,1
part,1
including,0
early,0
want,0
number,1
century,1
system,1
put,0
yeah,0
make,0
high,0
became,0
good,0
school,1
national,0
much,0
another,0
back,1
american,1
around,0
even,0
found,0
know,0
often,0
little,0
several,0
day,1
group,1
country,1
life,1
think,0
water,1
let,0
way,1
name,1
still,0
look,0
long,0
based,0
different,0
come,0
take,0
although,0
south,0
say,0
according,0
million,0
